Species,SL,Arch.ID,Arch.Length,Oss.Status,Arch.Type
anchoa,19,eb3,0.637,cartilage,epi
anchoa,20,eb1,1.15,cartilage,epi
anchoa,20,eb1,1.339,partial,epi
anchoa,20,eb2,0.867,cartilage,epi
anchoa,20,eb2,0.974,partial,epi
anchoa,20,eb3,0.452,cartilage,epi
anchoa,20,eb3,0.61,partial,epi
anchoa,20,eb4,0.464,cartilage,epi
anchoa,20,eb4,0.495,cartilage,epi
anchoa,23,eb1,1.253,partial,epi
anchoa,23,eb2,0.896,cartilage,epi
anchoa,23,eb3,0.539,cartilage,epi
anchoa,23,eb3,0.376,cartilage,epi
anchoa,23,eb4,0.376,cartilage,epi
anchoa,23,eb4,0.278,cartilage,epi
anchoa,26,eb1,1.397,partial,epi
anchoa,26,eb2,1.293,cartilage,epi
anchoa,26,eb3,0.697,cartilage,epi
anchoa,26,eb4,0.684,cartilage,epi
anchoa,27,eb3,0.661,ossified,epi
anchoa,27,eb4,0.615,ossified,epi
anchoa,28,eb3,0.626,ossified,epi
anchoa,28,eb4,0.53,ossified,epi
anchoa,54,eb3,1.016,ossified,epi
anchoa,54,eb3,1.627,ossified,epi
anchoa,54,eb4,0.678,ossified,epi
anchoa,54,eb4,1.268,ossified,epi
anchoa,62,eb1,4.133,ossified,epi
anchoa,62,eb2,3.019,ossified,epi
anchoa,62,eb3,2.166,ossified,epi
anchoa,62,eb4,1.306,ossified,epi
brevoortia,20,eb1,0.491,cartilage,epi
brevoortia,20,eb2,0.535,cartilage,epi
brevoortia,20,eb3,0.415,cartilage,epi
brevoortia,20,eb4,0.474,cartilage,epi
brevoortia,25,eb1,0.522,cartilage,epi
brevoortia,25,eb2,0.636,cartilage,epi
brevoortia,25,eb3,0.529,cartilage,epi
brevoortia,25,eb4,0.409,cartilage,epi
brevoortia,27,eb1,1.023,ossified,epi
brevoortia,27,eb2,1.031,ossified,epi
brevoortia,27,eb3,0.78,ossified,epi
brevoortia,27,eb4,0.716,ossified,epi
brevoortia,28,eb1,0.845,partial,epi
brevoortia,28,eb2,0.812,partial,epi
brevoortia,28,eb3,0.621,partial,epi
brevoortia,28,eb4,0.614,partial,epi
brevoortia,30,eb1,1.127,ossified,epi
brevoortia,30,eb2,1.063,ossified,epi
brevoortia,30,eb3,0.747,ossified,epi
brevoortia,30,eb4,0.703,ossified,epi
brevoortia,32,eb1,0.347,ossified,epi
brevoortia,32,eb2,0.343,ossified,epi
brevoortia,32,eb3,0.25,ossified,epi
brevoortia,32,eb4,0.272,ossified,epi
brevoortia,33,eb1,1.353,ossified,epi
brevoortia,33,eb2,1.346,ossified,epi
brevoortia,33,eb3,0.936,ossified,epi
brevoortia,33,eb4,1.051,ossified,epi
brevoortia,40,eb1,2.006,ossified,epi
brevoortia,40,eb2,1.687,ossified,epi
brevoortia,40,eb3,1.392,ossified,epi
brevoortia,40,eb4,1.089,ossified,epi
brevoortia,44,eb1,3.239,ossified,epi
brevoortia,44,eb2,3.368,ossified,epi
brevoortia,44,eb3,2.438,ossified,epi
brevoortia,44,eb4,2.068,ossified,epi
brevoortia,54,eb1,2.33,ossified,epi
brevoortia,54,eb2,2.05,ossified,epi
brevoortia,54,eb3,1.212,ossified,epi
brevoortia,54,eb4,1.048,ossified,epi
molitrix,15,eb4,1.3,ossified,epi
molitrix,18,eb4,1.4,ossified,epi
molitrix,20,eb4,1.4,ossified,epi
molitrix,25,eb4,1.9,ossified,epi
molitrix,30,eb4,2.5,ossified,epi
molitrix,50,eb4,6.6,ossified,epi
molitrix,40,eb4,3.5,ossified,epi
molitrix,80,eb4,7.8,ossified,epi
molitrix,90,eb4,5.4,ossified,epi
